Gender,Generation,Term Sub Reason,Employee Grade,Location,Career Bucket,Age Bucket,Manager ID,Talent,Department,active_months,,,,,,
0,2,5,1,1,1,2,100076,5,11,50,,,,,,
1,2,11,1,1,1,2,101162,5,11,49,,,,,,
1,2,11,2,2,2,3,101252,5,33,20,,,,,,
0,3,11,2,2,3,5,101254,5,33,75,,,,,,
0,2,1,1,1,1,2,101494,5,26,49,,,,,,
0,2,1,1,1,2,2,101566,5,21,11,,,,,,
0,2,11,2,1,2,3,101465,5,21,124,,,,,,
0,2,14,2,1,3,4,100270,5,20,14,,,,,,
0,2,14,1,1,2,3,100538,5,39,56,,,,,,
0,2,3,1,1,1,1,100601,5,7,3,,,,,,
0,2,3,1,1,2,3,100598,5,7,8,,,,,,
0,2,13,1,1,1,2,100620,5,7,20,,,,,,
1,2,5,1,1,1,1,100635,5,7,39,,,,,,
0,2,14,1,1,1,1,100745,5,7,39,,,,,,
0,2,11,2,1,2,3,100439,5,7,85,,,,,,
0,2,1,1,1,2,3,101481,5,18,13,,,,,,
1,2,9,1,1,2,3,101540,5,26,46,,,,,,
0,2,14,1,1,1,2,100191,5,2,40,,,,,,
1,2,3,1,1,1,2,100270,5,20,23,,,,,,
1,3,11,2,1,3,4,100270,5,20,25,,,,,,
1,3,11,2,1,3,4,102338,5,7,110,,,,,,
0,2,1,2,1,2,3,102446,5,45,78,,,,,,
0,3,1,1,1,3,5,100076,5,11,137,,,,,,
0,2,4,1,1,1,2,101059,5,11,64,,,,,,
0,3,11,2,1,3,4,100076,5,11,86,,,,,,
1,3,11,2,1,3,4,101725,5,21,140,,,,,,
0,3,11,2,1,3,4,102330,5,8,129,,,,,,
0,2,11,1,1,2,3,100635,5,7,31,,,,,,
0,3,3,1,1,3,5,100830,5,7,65,,,,,,
1,3,3,2,1,3,5,102338,5,7,100,,,,,,
0,2,14,1,1,2,3,101058,5,17,22,,,,,,
0,2,11,1,1,1,2,101115,5,42,57,,,,,,
0,2,1,1,1,2,3,101645,5,21,39,,,,,,
0,3,1,1,1,3,5,101495,5,26,117,,,,,,
0,2,13,1,1,1,2,100416,5,3,3,,,,,,
0,2,8,1,1,1,2,100633,5,7,63,,,,,,
1,2,13,2,1,2,3,100620,5,7,13,,,,,,
1,2,4,1,1,2,3,100076,5,11,62,,,,,,
0,3,1,2,1,3,4,101413,5,14,26,,,,,,
0,2,1,1,1,2,3,101435,5,14,80,,,,,,
0,3,13,2,1,3,5,102364,5,20,99,,,,,,
1,2,13,1,1,1,2,100416,5,3,6,,,,,,
0,3,1,1,1,3,4,100421,5,3,102,,,,,,
1,2,14,1,1,2,3,101224,5,32,55,,,,,,
0,2,14,1,1,2,3,100599,5,7,36,,,,,,
1,2,11,2,1,2,3,100667,5,7,80,,,,,,
1,2,4,1,1,1,2,101413,5,14,56,,,,,,
0,2,1,2,1,3,4,101413,5,14,65,,,,,,
0,2,1,2,1,2,3,100431,5,3,48,,,,,,
0,2,1,1,1,1,2,100605,5,7,36,,,,,,
0,2,7,1,1,1,2,100620,5,7,46,,,,,,
0,2,8,1,1,2,2,101435,5,14,8,,,,,,
0,2,1,1,1,1,2,101494,5,26,8,,,,,,
0,3,1,3,1,3,6,101725,5,21,75,,,,,,
0,2,3,1,1,2,3,100017,5,1,75,,,,,,
1,3,1,2,5,3,4,101254,5,33,41,,,,,,
0,2,1,1,1,2,3,101435,5,14,55,,,,,,
1,2,13,1,1,1,2,101458,5,43,19,,,,,,
0,3,13,2,1,3,5,101498,5,18,4,,,,,,
0,2,11,1,1,1,2,101540,5,26,57,,,,,,
0,3,11,3,3,3,5,102521,5,38,123,,,,,,
0,2,14,1,1,1,2,100601,5,7,14,,,,,,
1,2,5,1,1,1,1,100904,5,7,23,,,,,,
0,2,1,2,1,3,4,100598,5,7,105,,,,,,
0,2,5,1,1,1,2,101435,5,48,59,,,,,,
0,2,1,1,1,2,3,100416,5,3,29,,,,,,
0,2,5,1,1,1,1,100679,5,7,23,,,,,,
0,2,5,1,1,1,1,100633,5,7,23,,,,,,
1,2,13,1,1,2,3,100830,5,7,47,,,,,,
1,2,14,1,1,2,3,100605,5,7,63,,,,,,
1,2,11,1,1,1,2,100679,5,7,71,,,,,,
